A1
[[332, 5.0, 25876], [1, 53502, 1/1, 0.4869630744414844], 6.664656]
[[332, 5.0, 25876], [2, 53502, 1/1, 2.6707963037705458], 12.403937]
[[49, 5.0, 82567], [1, 59723, 1/1, 1.8608845857778968], 0.757252]
[[49, 5.0, 82567], [2, 59723, 1/1, 2.134919457697831], 1.34312]
[[332, 5.0, 25876], [3, 53502, 1/1, 7.39123595791186], 17.998435]
[[49, 5.0, 82567], [3, 59723, 1/1, 3.1257058604910224], 1.969984]
[[49, 5.0, 82567], [4, 59723, 1/1, 5.134376126797853], 2.399106]
[[332, 5.0, 25876], [4, 53502, 1/1, 11.340134436985362], 23.770282]
[[49, 5.0, 82567], [5, 59723, 1/1, 6.352201627547541], 3.172619]
[[49, 5.0, 82567], [6, 59723, 1/2, 7.87991637905212], 4.242356]
[[49, 5.0, 82567], [7, 59723, 1/2, 8.252166156884744], 4.951745]
[[49, 5.0, 82567], [8, 59723, 1/2, 9.51201130665348], 6.023741]
[[332, 5.0, 25876], [5, 53502, 1/1, 16.72276100886448], 36.473941]
[[49, 5.0, 82567], [9, 59723, 1/2, 11.049057830814464], 6.6686]
[[49, 5.0, 82567], [10, 59723, 1/2, 12.189883964553882], 7.903159]
[[49, 5.0, 82567], [11, 59723, 1/2, 13.480582521288003], 9.244172]
[[49, 5.0, 82567], [12, 59723, 1/2, 16.10430680132511], 11.150117]
[[49, 5.0, 82567], [13, 59723, 1/2, 17.029172635694206], 13.027037]
[[49, 5.0, 82567], [14, 59723, 1/2, 19.502034833460588], 15.628086]
[[143, 5.0, 79777], [1, 71775, 1/1, 1.7350921616500423], 5.384862]
[[49, 5.0, 82567], [15, 59723, 19/39, 20.598564270846634], 19.52641]
[[143, 5.0, 79777], [2, 71775, 1/1, 3.8035536494786824], 11.172356]
[[332, 5.0, 25876], [6, 53502, 1/1, 19.769101900481996], 77.681745]
[[49, 5.0, 82567], [16, 59723, 19/41, 21.100388983514218], 26.853675]
[[143, 5.0, 79777], [3, 71775, 1/1, 4.909693952925554], 15.671197]
[[143, 5.0, 79777], [4, 71775, 1/1, 7.110622716650232], 24.230557]
[[143, 5.0, 79777], [5, 71775, 1/2, 10.925749044347622], 33.94671]
[[143, 5.0, 79777], [6, 71775, 1/2, 11.540589256083816], 45.743634]
[[143, 5.0, 79777], [7, 71775, 1/2, 13.577492832685005], 52.898279]
[[143, 5.0, 79777], [8, 71775, 1/2, 18.688793730279777], 66.542332]
[[332, 5.0, 25876], [7, 53502, 1/2, 22.419859607505295], 165.128032]
[[143, 5.0, 79777], [9, 71775, 1/2, 22.152788076894954], 75.476378]
[[143, 5.0, 79777], [10, 71775, 1/2, 24.936577598966764], 89.105292]
[[143, 5.0, 79777], [11, 71775, 1/2, 28.393607992141543], 105.591216]
[[58, 5.0, 77194], [1, 60432, 1/1, 3.1554682671618064], 2.626012]
[[58, 5.0, 77194], [2, 60432, 1/1, 5.037691260760764], 4.912032]
[[332, 5.0, 25876], [8, 53502, 1/2, 24.682466234502925], 281.22803]
[[143, 5.0, 79777], [12, 71775, 1/2, 31.17519136732802], 135.292102]
[[58, 5.0, 77194], [3, 60432, 1/1, 7.013439332340123], 6.902656]
[[58, 5.0, 77194], [4, 60432, 1/1, 8.502416359913564], 10.935773]
[[58, 5.0, 77194], [5, 60432, 1/2, 9.865195733119052], 15.10227]
[[58, 5.0, 77194], [6, 60432, 1/2, 12.14531112171875], 18.176173]
[[58, 5.0, 77194], [7, 60432, 1/2, 13.261657858179419], 19.66456]
[[58, 5.0, 77194], [8, 60432, 1/2, 15.019134838270524], 20.973895]
[[143, 5.0, 79777], [13, 71775, 1/2, 32.805211014061946], 180.028984]
[[58, 5.0, 77194], [9, 60432, 1/2, 17.039479690250076], 23.878846]
[[58, 5.0, 77194], [10, 60432, 1/3, 17.262424593951476], 26.9963]
[[58, 5.0, 77194], [11, 60432, 1/3, 19.65934207317571], 30.385261]
[[332, 5.0, 25876], [9, 53502, 1/2, 25.11572512892684], 382.914076]
[[58, 5.0, 77194], [12, 60432, 1/3, 22.428307592536015], 30.602525]
[[143, 5.0, 79777], [14, 71775, 1/2, 34.2564679727821], 213.421722]
[[58, 5.0, 77194], [13, 60432, 1/3, 25.676395329271255], 33.256388]
[[58, 5.0, 77194], [14, 60432, 1/3, 27.242412850672252], 35.652156]
[[408, 5.0, 72554], [1, 12720, 1/1, 4.875594226411626], 26.05777]
[[58, 5.0, 77194], [15, 60432, 1/4, 28.746978334560477], 35.169145]
[[143, 5.0, 79777], [15, 71775, 1/2, 39.75362508445837], 239.084319]
[[58, 5.0, 77194], [16, 60432, 1/5, 31.129470418134648], 36.788997]
[[408, 5.0, 72554], [2, 12720, 1/1, 12.92423675093081], 47.676006]
[[408, 5.0, 72554], [3, 12720, 1/1, 17.448577343385463], 67.860518]
[[143, 5.0, 79777], [16, 71775, 1/2, 42.774431482875734], 256.832626]
[[332, 5.0, 25876], [10, 53502, 1/2, 25.721272733979692], 502.250806]
[[408, 5.0, 72554], [4, 12720, 1/1, 24.097323996103388], 113.479878]
[[408, 5.0, 72554], [5, 12720, 1/1, 28.365084370263443], 226.847698]
[[332, 5.0, 25876], [11, 53502, 1/2, 29.149401566215655], 685.166155]
[[408, 5.0, 72554], [6, 12720, 1/1, 31.65796581172152], 351.009044]
[[332, 5.0, 25876], [12, 53502, 1/2, 31.4216693557693], 894.350784]
[[30, 5.0, 8323], [1, 88467, 1/1, 0.527311870464284], 1.577739]
[[30, 5.0, 8323], [2, 88467, 1/1, 2.4391419794453397], 2.439811]
[[30, 5.0, 8323], [3, 88467, 1/1, 3.0870932246802596], 3.367401]
[[30, 5.0, 8323], [4, 88467, 1/2, 4.485476721258408], 4.123101]
[[408, 5.0, 72554], [7, 12720, 1/1, 38.3367274156793], 508.703335]
[[30, 5.0, 8323], [5, 88467, 1/2, 6.035104053952206], 4.757237]
[[30, 5.0, 8323], [6, 88467, 1/2, 6.750369306530743], 6.554799]
